title,author,rating
By Invitation Only,"Chang, Alexandra Brown",
Higher Magic,"Floyd, Courtney",
Cinder House,"Marske, Freya",4.0
The Wayfinder,"Johnson, Adam",
On Her Game,"Brennan, Christine",
The Amalfi Curse,"Penner, Sarah",5.0
Kuleana,"Goo, Sara Kehaulani",3.0
Menu of Happiness,"Kashiwai, Hisashi",
All the Men I've Loved Again,"Pride, Christine",
Eden's Shore,"Fagan, Oisín",
We Are Legion,"Taylor, Dennis E.",
The Loneliness of Sonia and Sunny,"Desai, Kiran",
The Listeners,"Stiefvater, Maggie",3.0
August Lane,"Black, Regina",
Head Witch in Charge,"Flynn, Avery",
The Secret Book Society,"Martin, Madeline",
Bring the House Down,"Runcie, Charlotte",4.0
Shot Ready,"Curry, Stephen",
Atmosphere,"Reid, Taylor Jenkins",5.0
Murder Takes A Vacation,"Lippman, Laura",3.0
Atmosphere,"Reid, Taylor Jenkins",5.0
Spectacular Things,"Dorey-Stein, Beck",
These Summer Storms,"MacLean, Sarah",4.0
Among Friends,"Ebbott, Hal",
I Know How This Ends,"Smale, Holly",3.0
Katabasis,"Kuang, R. F.",
These Memories Do Not Belong to Us,"Ma, Yiming",
"Maggie; Or, A Man and A Woman Walk Into A Bar","Yee, Katie",4.0
Enigma,RuNyx,3.0
The Payback,"Cauley, Kashana",
This American Woman,"Garg, Zarna",
Great Big Beautiful Life,"Henry, Emily",4.0
The Compound,"Rawle, Aisling",4.0
Flashlight,"Choi, Susan",
All That Life Can Afford,"Everett, Emily",
Uncommon Favor,"Staley, Dawn",4.0
I'll Be Right Here,"Bloom, Amy",
Worth Fighting for,"Sutanto, Jesse Q.",
Atmosphere,"Reid, Taylor Jenkins",5.0
My Name Is Emilia Del Valle,"Allende, Isabel",
Careless People,"Wynn-Williams, Sarah",
One Golden Summer,"Fortune, Carley",4.0
It's A Love Story,"Monaghan, Annabel",
Along Came Amor,"Daria, Alexis",3.0
The Girls Who Grew Big,"Mottley, Leila",
Immaculate Conception,"Huang, Ling Ling",
What Kind of Paradise,"Brown, Janelle",
Marriage Bargain With the Comte,"Cole, Parker J.",
Problematic Summer Romance,"Hazelwood, Ali",3.0
The Love Haters,"Center, Katherine",
We'll Always Have Summer,"Han, Jenny",4.0
The Summer I Turned Pretty,"Han, Jenny",
It's Not Summer Without You,"Han, Jenny",
Nexus,"Harari, Yuval N.",
We Can Do Hard Things,"Doyle, Glennon",
People of Means,"Johnson, Nancy",5.0
Awake in the Floating City,"Kwan, Susanna",
Silver Elite,"Francis, Dani",4.0
Hotter in the Hamptons,Tinx,4.0
The Griffin Sisters' Greatest Hits,"Weiner, Jennifer",4.0
Sunrise on the Reaping,"Collins, Suzanne",5.0
Stuck,"Appelbaum, Yoni",3.0
The Love Lyric,"Forest, Kristina",
Pomona Afton Can So Solve A Murder,"Rose, Bellamy",4.0
Dream Count,"Adichie, Chimamanda Ngozi",
I Got Abducted by Aliens and Now I'm Trapped in A Rom-com,"Lemming, Kimberly",
The Girl Most Likely to,"Tieu, Julie",3.0
Rebel Witch,"Ciccarelli, Kristen",
Book Boyfriend,"Wibberley, Emily",3.0
Scythe & Sparrow,"Weaver, Brynne",
Fan Service,"Danan, Rosie",
The Love Simulation,"Easton, Etta",3.0
Good Girl,"Aber, Aria",
Bowling Alone,"Putnam, Robert D.",
Too Soon,"Shamieh, Betty",
One Dark Window,"Gillig, Rachel",
The Favorites,"Fargo, Layne",4.0
The Waiting Game,"Clark, Nicola",
Onyx Storm,"Yarros, Rebecca",
Dear Dotty,"Westlake, Jaclyn",5.0
Hammajang Luck,"Yamamoto, Makana",
Three Days in June,"Tyler, Anne",
Deep End,"Hazelwood, Ali",3.0
Dream Girl Drama,"Bailey, Tessa",3.0
She Doesn't Have A Clue,"Moke, Jenny Elder",4.0
Good Dirt,"Wilkerson, Charmaine",
Isola,"Goodman, Allegra",
All the Water in the World,"Caffall, Eiren",
We Do Not Part,"Han, Kang",
The Night Ends With Fire,"Song, K. X.",3.0
Colored Television,"Senna, Danzy",
Dating and Dragons,"Boyce, Kristy",3.0
Intermezzo,"Rooney, Sally",
Spark of the Everflame,"Cole, Penn",
The Wedding People,"Espach, Alison",5.0
