Title,Author,Date Read,Original Publication Year,My Rating,Number of Pages,Exclusive Shelf
The Masterpiece,Fiona  Davis,2025-12-02,2018.0,4,368.0,read
Comfort & Joy,Kristin Hannah,2025-11-30,2005.0,2,272.0,read
"Say You'll Remember Me (Say You'll Remember Me, #1)",Abby Jimenez,2025-11-25,2025.0,4,416.0,read
"Along the Infinite Sea (Schuyler Sisters, #3)",Beatriz Williams,2025-11-22,2015.0,4,464.0,read
Back After This,Linda  Holmes,2025-11-15,2025.0,4,320.0,read
The Amalfi Curse,Sarah Penner,2025-11-10,2025.0,5,336.0,read
"The Kamogawa Food Detectives (Kamogawa Food Detectives, #1)",Hisashi Kashiwai,2025-11-09,2013.0,4,201.0,read
Cinder House,Freya Marske,2025-11-09,2025.0,4,144.0,read
"Kuleana: A Story of Family, Land, and Legacy in Old Hawai'i",Sara Kehaulani Goo,2025-11-09,2025.0,3,368.0,read
The Listeners,Maggie Stiefvater,2025-10-29,2025.0,3,382.0,read
Murder Takes a Vacation,Laura Lippman,2025-10-12,2025.0,3,272.0,read
Bring the House Down,Charlotte Runcie,2025-10-11,2025.0,4,304.0,read
The Matchmaker,Aisha Saeed,2025-09-25,2025.0,3,320.0,read
I Know How This Ends,Holly Smale,2025-09-19,2025.0,3,368.0,read
These Summer Storms,Sarah MacLean,2025-09-15,2025.0,4,384.0,read
"No One Was Supposed to Die at This Wedding (The Vacation Mysteries, #2)",Catherine Mack,2025-09-08,2025.0,3,341.0,read
"Maggie; or, A Man and a Woman Walk Into a Bar",Katie Yee,2025-09-06,2025.0,4,208.0,read
"Uncommon Favor: Basketball, North Philly, My Mother, and the Life Lessons I Learned from All Three",Dawn Staley,2025-09-05,,4,256.0,read
"Every Time I Go on Vacation, Someone Dies (The Vacation Mysteries, #1)",Catherine Mack,2025-09-05,2024.0,3,342.0,read
The Compound,Aisling Rawle,2025-09-02,2025.0,4,292.0,read
Enigma,RuNyx,2025-08-30,2025.0,3,463.0,read
"The Bastard (Kent Family Chronicles, #1)",John Jakes,2025-08-27,1974.0,3,528.0,read
"Snowglobe (Snowglobe Duology, #1)",Soyoung Park,2025-08-19,2020.0,4,384.0,read
"Along Came Amor (Primas of Power, #3)",Alexis Daria,2025-08-19,2025.0,3,512.0,read
Great Big Beautiful Life,Emily Henry,2025-08-15,2025.0,4,432.0,read
One Golden Summer,Carley Fortune,2025-08-14,2025.0,4,401.0,read
The Stolen Queen,Fiona  Davis,2025-08-10,2025.0,4,352.0,read
The Hotel Nantucket,Elin Hilderbrand,2025-08-06,2022.0,4,416.0,read
Atmosphere,Taylor Jenkins Reid,2025-08-03,2025.0,5,352.0,read
"Problematic Summer Romance (Not in Love, #2)",Ali Hazelwood,2025-07-22,2025.0,3,416.0,read
Ne'er Duke Well (Belvoir's Library #1),Alexandra Vasti,2025-07-22,2024.0,3,352.0,read
Can't Help Faking in Love,Swati Hegde,2025-07-19,2025.0,3,272.0,read
It's Elementary (Mavis Miller #1),Elise Bryant,2025-07-09,2024.0,3,368.0,read
The Women,Kristin Hannah,2025-07-09,2024.0,4,471.0,read
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,2025-06-30,1985.0,4,311.0,read
I Who Have Never Known Men,Jacqueline Harpman,2025-06-27,1995.0,4,184.0,read
"Revenge of the Tipping Point: Overstories, Superspreaders, and the Rise of Social Engineering",Malcolm Gladwell,2025-06-25,2024.0,5,352.0,read
"We'll Always Have Summer (Summer, #3)",Jenny Han,2025-06-23,2011.0,4,291.0,read
Hotter in the Hamptons,Tinx,2025-06-17,,4,336.0,read
Stuck: How the Privileged and the Propertied Broke the Engine of American Opportunity,Yoni Appelbaum,2025-06-17,2025.0,3,320.0,read
The Griffin Sisters' Greatest Hits,Jennifer Weiner,2025-06-15,2025.0,4,384.0,read
People of Means,Nancy    Johnson,2025-06-12,2025.0,5,368.0,read
Husbands & Lovers,Beatriz Williams,2025-06-11,2024.0,3,384.0,read
"Silver Elite (Silver Elite, #1)",Dani Francis,2025-06-11,2025.0,4,516.0,read
"The Bone Season (The Bone Season, #1)",Samantha Shannon,2025-06-05,2013.0,3,466.0,read
Book Boyfriend,Emily Wibberley,2025-05-26,2025.0,3,384.0,read
The Girl Most Likely To,Julie Tieu,2025-05-25,2025.0,3,320.0,read
Pomona Afton Can So Solve a Murder (Pomona Afton #1),Bellamy  Rose,2025-05-18,2025.0,4,250.0,read
