title,author,rating
By Invitation Only,"Chang, Alexandra Brown",NR
Higher Magic,"Floyd, Courtney",NR
Cinder House,"Marske, Freya",4.0
The Wayfinder,"Johnson, Adam",NR
On Her Game,"Brennan, Christine",NR
The Amalfi Curse,"Penner, Sarah",5.0
Kuleana,"Goo, Sara Kehaulani",3.0
Menu of Happiness,"Kashiwai, Hisashi",NR
All the Men I've Loved Again,"Pride, Christine",NR
Eden's Shore,"Fagan, Oisín",NR
We Are Legion,"Taylor, Dennis E.",NR
The Loneliness of Sonia and Sunny,"Desai, Kiran",NR
The Listeners,"Stiefvater, Maggie",3.0
August Lane,"Black, Regina",NR
Head Witch in Charge,"Flynn, Avery",NR
The Secret Book Society,"Martin, Madeline",NR
Bring the House Down,"Runcie, Charlotte",4.0
Shot Ready,"Curry, Stephen",NR
Atmosphere,"Reid, Taylor Jenkins",5.0
Murder Takes A Vacation,"Lippman, Laura",3.0
Atmosphere,"Reid, Taylor Jenkins",5.0
Spectacular Things,"Dorey-Stein, Beck",NR
These Summer Storms,"MacLean, Sarah",4.0
Among Friends,"Ebbott, Hal",NR
I Know How This Ends,"Smale, Holly",3.0
Katabasis,"Kuang, R. F.",NR
These Memories Do Not Belong to Us,"Ma, Yiming",NR
"Maggie; Or, A Man and A Woman Walk Into A Bar","Yee, Katie",4.0
Enigma,RuNyx,3.0
The Payback,"Cauley, Kashana",NR
This American Woman,"Garg, Zarna",NR
Great Big Beautiful Life,"Henry, Emily",4.0
The Compound,"Rawle, Aisling",4.0
Flashlight,"Choi, Susan",NR
All That Life Can Afford,"Everett, Emily",NR
Uncommon Favor,"Staley, Dawn",4.0
I'll Be Right Here,"Bloom, Amy",NR
Worth Fighting for,"Sutanto, Jesse Q.",NR
Atmosphere,"Reid, Taylor Jenkins",5.0
My Name Is Emilia Del Valle,"Allende, Isabel",NR
Careless People,"Wynn-Williams, Sarah",NR
One Golden Summer,"Fortune, Carley",4.0
It's A Love Story,"Monaghan, Annabel",NR
Along Came Amor,"Daria, Alexis",3.0
The Girls Who Grew Big,"Mottley, Leila",NR
Immaculate Conception,"Huang, Ling Ling",NR
What Kind of Paradise,"Brown, Janelle",NR
Marriage Bargain With the Comte,"Cole, Parker J.",NR
Problematic Summer Romance,"Hazelwood, Ali",3.0
The Love Haters,"Center, Katherine",NR
We'll Always Have Summer,"Han, Jenny",4.0
The Summer I Turned Pretty,"Han, Jenny",NR
It's Not Summer Without You,"Han, Jenny",NR
Nexus,"Harari, Yuval N.",NR
We Can Do Hard Things,"Doyle, Glennon",NR
People of Means,"Johnson, Nancy",5.0
Awake in the Floating City,"Kwan, Susanna",NR
Silver Elite,"Francis, Dani",4.0
Hotter in the Hamptons,Tinx,4.0
The Griffin Sisters' Greatest Hits,"Weiner, Jennifer",4.0
Sunrise on the Reaping,"Collins, Suzanne",5.0
Stuck,"Appelbaum, Yoni",3.0
The Love Lyric,"Forest, Kristina",NR
Pomona Afton Can So Solve A Murder,"Rose, Bellamy",4.0
Dream Count,"Adichie, Chimamanda Ngozi",NR
I Got Abducted by Aliens and Now I'm Trapped in A Rom-com,"Lemming, Kimberly",NR
The Girl Most Likely to,"Tieu, Julie",3.0
Rebel Witch,"Ciccarelli, Kristen",NR
Book Boyfriend,"Wibberley, Emily",3.0
Scythe & Sparrow,"Weaver, Brynne",NR
Fan Service,"Danan, Rosie",NR
The Love Simulation,"Easton, Etta",3.0
Good Girl,"Aber, Aria",NR
Bowling Alone,"Putnam, Robert D.",NR
Too Soon,"Shamieh, Betty",NR
One Dark Window,"Gillig, Rachel",NR
The Favorites,"Fargo, Layne",4.0
The Waiting Game,"Clark, Nicola",NR
Onyx Storm,"Yarros, Rebecca",NR
Dear Dotty,"Westlake, Jaclyn",5.0
Hammajang Luck,"Yamamoto, Makana",NR
Three Days in June,"Tyler, Anne",NR
Deep End,"Hazelwood, Ali",3.0
Dream Girl Drama,"Bailey, Tessa",3.0
She Doesn't Have A Clue,"Moke, Jenny Elder",4.0
Good Dirt,"Wilkerson, Charmaine",NR
Isola,"Goodman, Allegra",NR
All the Water in the World,"Caffall, Eiren",NR
We Do Not Part,"Han, Kang",NR
The Night Ends With Fire,"Song, K. X.",3.0
Colored Television,"Senna, Danzy",NR
Dating and Dragons,"Boyce, Kristy",3.0
Intermezzo,"Rooney, Sally",NR
Spark of the Everflame,"Cole, Penn",NR
The Wedding People,"Espach, Alison",5.0
